countryname,year,mcgarry_federal
Venezuela,2014,1
Venezuela,2015,1
Venezuela,2016,1
Venezuela,2017,1
Venezuela,2018,1
Venezuela,1959,0
Venezuela,1958,0
Venezuela,1957,0
Venezuela,1956,0
Venezuela,1955,0
Venezuela,1954,0
Venezuela,1953,0
Venezuela,1952,0
Venezuela,1951,0
Venezuela,1950,0
Yugoslavia,,1
Albania,,0
Bangladesh,,0
Bolivia,,0
Botswana,,0
Bulgaria,,0
Cambodia (Kampuchea),,0
Cape Verde,,0
Central African Republic,,0
Chile,,0
Colombia,,0
Comoros,,0
Costa Rica,,0
Croatia,,0
Cuba,,0
Cyprus,,0
Czech Republic,,0
Denmark,,0
Dominican Republic,,0
East Timor,,0
Ecuador,,0
El Salvador,,0
Estonia,,0
Finland,,0
France,,0
Georgia,,0
Ghana,,0
Greece,,0
Guatemala,,0
Guyana,,0
Haiti,,0
Honduras,,0
Hungary,,0
Indonesia,,0
Ireland,,0
Israel,,0
Italy/Sardinia,,0
Jamaica,,0
Japan,,0
Kenya,,0
"Korea, Republic of",,0
Kyrgyz Republic,,0
Latvia,,0
Lesotho,,0
Lithuania,,0
Luxembourg,,0
Macedonia (FYROM/North Macedonia),,0
Mauritius,,0
Moldova,,0
Mongolia,,0
Montenegro,,0
Nepal,,0
Netherlands,,0
New Zealand,,0
Nicaragua,,0
Norway,,0
Pakistan,,0
Panama,,0
Papua New Guinea,,0
Paraguay,,0
Peru,,0
Philippines,,0
Poland,,0
Portugal,,0
Rumania,,0
Senegal,,0
Serbia,,0
Serbia and Montenegro,,0
Sierra Leone,,0
Slovakia,,0
Slovenia,,0
Solomon Islands,,0
Spain,,0
Sri Lanka (Ceylon),,0
Sweden,,0
Taiwan,,0
Thailand,,0
Trinidad and Tobago,,0
Turkey (Ottoman Empire),,0
Ukraine,,0
United Kingdom,,0
Uruguay,,0
"Vietnam, Democratic Republic of",,0
